"id","name","uuid:ID","isRequired","datatype","isEnabled","instanceType","label"
"BiomedicalConceptProperty_102","VSLOC","f9178a13-f4af-49dc-884c-c4dee7011c4a","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_103","VSLAT","a8769e8f-fff9-46d6-9459-ef766a577100","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_104","VSTESTCD","9c1ee71d-388e-4e38-b778-94794c448ac0","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_105","VSORRES","9c7a9efb-5ee8-47e4-8edf-a5afe9824dcb","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_106","VSORRESU","35873304-bfca-452d-affd-bdee2822e393","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_107","VSPOS","4293c4c3-e554-4775-9ae1-ac822ddd9785","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_108","VSLOC","f2fd38ba-140f-4b9b-b891-ec0d8dddb785","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_109","VSLAT","c0f6104f-5f77-497f-a939-0658ef74bf28","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_110","VSTESTCD","eeb627ce-75c7-4228-91b5-240a2f52e271","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_111","VSORRES","8cbdddbf-9b9a-4a42-9cb0-b4cd43fcae85","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_112","VSORRESU","365d3b51-060a-45b9-880c-d21e4fe92d00","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_113","VSPOS","2f3c191e-aac2-4c60-95ef-18d9ec3c78d1","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_114","VSLOC","062e5aab-9a07-4d49-bce9-32e3e1346f51","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_115","VSLAT","daf127c0-ac4c-466e-9415-70f55bb7177a","True","","True","BiomedicalConceptProperty","VSLAT"
